Year,Round,GrandPrix,Country,Driver,Team,GridPosition,Position,Points,Status,MeanLapTime,StdLapTime,PitStops,FirstCompound,StintCount,AirTemp,Rainfall,Humidity,WindSpeed,TrackTemp
2018,5,Spanish Grand Prix,Spain,OCO,Force India,13,16,0,Oil leak,91.15867568,16.3876332,1,nan,2,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,RAI,Ferrari,4,17,0,Turbo,93.94525,20.36613378,1,nan,1,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,GRO,Haas F1 Team,10,18,0,Collision,,,0,SOFT,1,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,GAS,Toro Rosso,12,19,0,Collision,,,0,SOFT,1,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,HUL,Renault,16,20,0,Collision,,,0,SOFT,1,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,6,Monaco Grand Prix,Monaco,RIC,Red Bull Racing,1,1,25,Finished,79.16419231,3.844329216,1,nan,2,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,VET,Ferrari,2,2,18,Finished,79.25824359,4.060527988,1,nan,2,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,HAM,Mercedes,3,3,15,Finished,79.38230769,3.827082417,1,nan,2,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,RAI,Ferrari,4,4,12,Finished,79.39658974,3.768780978,1,nan,2,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,BOT,Mercedes,5,5,10,Finished,79.4055,3.808976175,1,nan,2,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,OCO,Force India,6,6,8,Finished,79.46761538,3.972064474,1,nan,2,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,GAS,Toro Rosso,10,7,6,Finished,79.47612821,3.921559739,1,nan,2,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,HUL,Renault,11,8,4,Finished,79.48264103,4.023091181,1,nan,2,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,VER,Red Bull Racing,20,9,2,Finished,79.48876923,4.29561679,1,nan,2,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,SAI,Renault,8,10,1,Finished,80.04897436,3.684288611,1,nan,2,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,ERI,Sauber,16,11,0,Finished,80.05988462,4.05682415,1,nan,2,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,PER,Force India,9,12,0,Finished,80.06753846,4.049353152,1,nan,2,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,MAG,Haas F1 Team,19,13,0,Finished,80.12346154,4.143890197,1,nan,2,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,VAN,McLaren,12,14,0,+1 Lap,80.19531169,5.483393576,2,nan,3,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,GRO,Haas F1 Team,18,15,0,+1 Lap,80.58506494,5.207990959,2,nan,3,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,SIR,Williams,13,16,0,+1 Lap,80.8627013,5.333447964,3,nan,4,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,STR,Williams,17,17,0,+2 Laps,81.67786842,10.14855899,3,nan,4,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,LEC,Sauber,14,18,0,Collision,79.66074286,2.903122221,1,nan,2,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,HAR,Toro Rosso,15,19,0,Collision,79.63727143,2.86122245,2,nan,2,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,6,Monaco Grand Prix,Monaco,ALO,McLaren,7,20,0,Gearbox,79.68798077,2.875880997,1,nan,2,26.64070796,0.123893805,50.89292035,1.382300885,34.60973451
2018,7,Canadian Grand Prix,Canada,VET,Ferrari,1,1,25,Finished,78.03325714,11.19205491,1,nan,2,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,BOT,Mercedes,2,2,18,Finished,78.11578571,11.17539255,1,nan,2,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,VER,Red Bull Racing,3,3,15,Finished,78.11745714,11.14953554,1,nan,2,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,RIC,Red Bull Racing,6,4,12,Finished,78.2849,11.04481138,1,nan,2,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,HAM,Mercedes,4,5,10,Finished,78.33984286,11.04806773,1,nan,2,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,RAI,Ferrari,5,6,8,Finished,78.4245,11.02376588,1,nan,2,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,HUL,Renault,7,7,6,+1 Lap,79.52398551,10.84983834,1,nan,2,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,SAI,Renault,9,8,4,+1 Lap,79.57914493,10.85157161,1,nan,2,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,OCO,Force India,8,9,2,+1 Lap,79.60095652,10.85916899,1,nan,2,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,LEC,Sauber,13,10,1,+1 Lap,79.74392754,10.83192855,1,nan,2,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,GAS,Toro Rosso,16,11,0,+1 Lap,79.81808696,10.91788705,1,nan,2,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,GRO,Haas F1 Team,20,12,0,+1 Lap,79.8236087,11.01388393,1,nan,2,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,MAG,Haas F1 Team,11,13,0,+1 Lap,79.87555072,10.83440199,1,nan,2,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,PER,Force India,10,14,0,+1 Lap,79.84718841,11.0437128,2,nan,3,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,ERI,Sauber,19,15,0,+2 Laps,80.50670588,11.22534875,1,nan,1,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,VAN,McLaren,15,16,0,+2 Laps,80.53194118,12.04089691,2,nan,2,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,SIR,Williams,18,17,0,+2 Laps,80.86325,10.77486682,1,nan,2,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,ALO,McLaren,14,18,0,Exhaust,82.119675,13.88811477,2,nan,2,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,HAR,Toro Rosso,12,19,0,Collision,,,0,HYPERSOFT,1,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,7,Canadian Grand Prix,Canada,STR,Williams,17,20,0,Collision,,,0,ULTRASOFT,1,20.52358491,0,27.8254717,2.471698113,36.9490566
2018,8,French Grand Prix,France,HAM,Mercedes,1,1,25,Finished,101.0076154,13.65252531,1,nan,2,24.54607843,0.009803922,49.04901961,1.815686275,42.03333333
2018,8,French Grand Prix,France,VER,Red Bull Racing,4,2,18,Finished,101.1481731,13.74256439,1,nan,2,24.54607843,0.009803922,49.04901961,1.815686275,42.03333333
2018,8,French Grand Prix,France,RAI,Ferrari,6,3,15,Finished,101.4973077,13.67059841,1,nan,2,24.54607843,0.009803922,49.04901961,1.815686275,42.03333333
2018,8,French Grand Prix,France,RIC,Red Bull Racing,5,4,12,Finished,101.6873654,13.43597113,1,nan,2,24.54607843,0.009803922,49.04901961,1.815686275,42.03333333
2018,8,French Grand Prix,France,VET,Ferrari,3,5,10,Finished,102.3154231,15.41043148,2,nan,2,24.54607843,0.009803922,49.04901961,1.815686275,42.03333333
2018,8,French Grand Prix,France,MAG,Haas F1 Team,9,6,8,Finished,102.54725,13.21319514,1,nan,2,24.54607843,0.009803922,49.04901961,1.815686275,42.03333333
2018,8,French Grand Prix,France,BOT,Mercedes,2,7,6,Finished,102.6651154,18.33088088,2,nan,2,24.54607843,0.009803922,49.04901961,1.815686275,42.03333333
2018,8,French Grand Prix,France,SAI,Renault,7,8,4,Finished,102.6945,13.17424184,1,nan,2,24.54607843,0.009803922,49.04901961,1.815686275,42.03333333
2018,8,French Grand Prix,France,HUL,Renault,12,9,2,Finished,102.7507885,13.2010594,1,nan,2,24.54607843,0.009803922,49.04901961,1.815686275,42.03333333
2018,8,French Grand Prix,France,LEC,Sauber,8,10,1,Finished,102.8210385,13.22167225,1,nan,2,24.54607843,0.009803922,49.04901961,1.815686275,42.03333333
